OfferID,OrderID,OfferName,OfferType,DiscountAmount,SalesGenerated,RedemptionRate,ROI,OfferDate,Status
OFFER00096,ORD000158,Flat 5% Off,Discount,95.59,977.2,30.3,3.9,03-04-2026 02:10,Active
OFFER00097,ORD000161,Free Delivery on orders above â‚¹199,Free Delivery,193.05,2423.77,39.3,3.06,06-05-2026 20:33,Active
OFFER00098,ORD000164,Flat 5% Off,Discount,85.56,605.14,39.5,3.06,25-01-2026 04:16,Upcoming
OFFER00099,ORD000166,BOGO on Beverages,Buy 1 Get 1,72.49,1721.41,56.2,3.6,30-01-2026 23:49,Active
OFFER00100,ORD000167,5% Cashback on Axis Cards,Bank Offer,112.57,390.38,45.7,4.73,02-02-2026 21:48,Active
OFFER00101,ORD000168,10% Off using SBI Cards,Bank Offer,160.22,304.65,44.9,3.64,23-05-2026 07:01,Active
OFFER00102,ORD000169,20% Cashback (Max â‚¹75),Cashback,112.91,1369.89,57.3,4.61,06-06-2026 11:15,Active
OFFER00103,ORD000170,10% Off using SBI Cards,Bank Offer,19.15,606.36,64.6,2.88,04-03-2026 13:03,Active
OFFER00104,ORD000171,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,214.38,2275.73,72.3,4.15,21-03-2026 07:59,Active
OFFER00105,ORD000172,Buy 2 Get 1 Free,Buy 1 Get 1,178.79,923.31,67.6,1.56,25-05-2026 20:13,Active
OFFER00106,ORD000173,Get â‚¹100 Cashback on next order,Cashback,33.96,1492.98,39.4,2.43,17-03-2026 01:36,Active
OFFER00107,ORD000177,Free Delivery - Prime Member,Free Delivery,131.94,2030.99,49.1,3.71,15-05-2026 20:23,Active
OFFER00108,ORD000178,Get â‚¹50 Cashback,Cashback,178.95,306.6,40.9,3.41,21-01-2026 12:28,Active
OFFER00109,ORD000179,Flat 15% Off,Discount,79.75,1350.37,67.4,4.86,19-04-2026 01:15,Active
OFFER00110,ORD000182,20% Cashback (Max â‚¹75),Cashback,204.85,2166.15,34.5,4.08,01-05-2026 07:38,Active
OFFER00111,ORD000183,Get â‚¹100 Cashback on next order,Cashback,247.69,385.41,74,4.32,06-03-2026 02:09,Active
OFFER00112,ORD000184,Flat â‚¹75 Off using HDFC Cards,Bank Offer,204.97,776.65,31.2,3.18,25-04-2026 10:30,Active
OFFER00113,ORD000186,Buy 2 Get 1 Free,Buy 1 Get 1,181.49,2124,51,3.36,20-04-2026 10:26,Expired
OFFER00114,ORD000188,Get â‚¹100 Cashback on next order,Cashback,228.74,2265.07,67.1,4.96,08-05-2026 23:47,Expired
OFFER00115,ORD000190,Flat 15% Off,Discount,59.57,1091.92,51.4,3.23,10-04-2026 11:50,Active
OFFER00116,ORD000191,Flat â‚¹75 Off using HDFC Cards,Bank Offer,59.89,773.67,71.2,4.57,28-06-2026 21:30,Active
OFFER00117,ORD000193,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,147.72,2420.75,70.6,1.93,07-05-2026 21:44,Active
OFFER00118,ORD000194,Free Delivery on orders above â‚¹299,Free Delivery,67.19,2493.38,25.8,1.73,26-06-2026 11:56,Expired
OFFER00119,ORD000195,Flat 15% Off,Discount,21.28,359.01,43.6,3.64,17-05-2026 05:58,Active
OFFER00120,ORD000196,Flat 10% Off,Discount,76.71,174.92,36.7,4.86,03-04-2026 12:06,Active
OFFER00121,ORD000197,Flat 15% Off,Discount,12.02,1958.22,56.1,2.75,28-02-2026 12:16,Expired
OFFER00122,ORD000201,Flat 5% Off,Discount,12.41,1190.57,46.3,4.03,06-02-2026 06:27,Expired
OFFER00123,ORD000202,Free Delivery on orders above â‚¹199,Free Delivery,135.66,2067.22,67.8,2.46,17-07-2026 02:38,Expired
OFFER00124,ORD000204,Get â‚¹50 Cashback,Cashback,105.26,2462.39,69.7,3.93,04-04-2026 23:22,Expired
OFFER00125,ORD000206,Flat 5% Off,Discount,29.02,478.66,50.1,2.97,14-07-2026 07:13,Expired
OFFER00126,ORD000211,â‚¹100 Off on ICICI Cards,Bank Offer,196.15,583.21,73.8,3.86,10-03-2026 02:56,Upcoming
OFFER00127,ORD000212,Get â‚¹100 Cashback on next order,Cashback,17.19,1458.53,33.4,3.11,20-02-2026 00:56,Expired
OFFER00128,ORD000213,Free Delivery on orders above â‚¹199,Free Delivery,116.44,1962.22,50.2,3.13,13-03-2026 22:52,Expired
OFFER00129,ORD000214,Flat 20% Off,Discount,109.2,669.46,68.7,4.79,30-04-2026 12:00,Active
OFFER00130,ORD000216,20% Cashback (Max â‚¹75),Cashback,205.86,1458.49,50.4,3.51,21-06-2026 21:39,Active
OFFER00131,ORD000218,20% Cashback (Max â‚¹75),Cashback,221.68,1453.52,66.5,2.7,14-05-2026 10:09,Active
OFFER00132,ORD000219,BOGO on Beverages,Buy 1 Get 1,160.78,1478.31,59.3,3.8,22-01-2026 05:43,Expired
OFFER00133,ORD000220,Get â‚¹100 Cashback on next order,Cashback,36.5,1511.73,42,3.22,14-03-2026 22:55,Expired
OFFER00134,ORD000221,Buy 2 Get 1 Free,Buy 1 Get 1,64.55,1163.28,29.2,4.65,14-02-2026 01:13,Active
OFFER00135,ORD000223,Buy 2 Get 1 Free,Buy 1 Get 1,28.31,1289,54.8,4.14,06-05-2026 03:41,Active
OFFER00136,ORD000224,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,12.23,1489.08,42.8,2.15,19-05-2026 12:33,Active
OFFER00137,ORD000226,Get â‚¹100 Cashback on next order,Cashback,220.65,1447.67,59.8,4.02,08-04-2026 00:47,Active
OFFER00138,ORD000227,Flat 5% Off,Discount,17.58,1798.12,73.5,1.88,09-02-2026 06:05,Active
OFFER00139,ORD000228,Free Delivery - Prime Member,Free Delivery,173.04,625.3,64.4,4.34,14-05-2026 06:13,Expired
OFFER00140,ORD000229,Flat â‚¹75 Off using HDFC Cards,Bank Offer,127.97,443.02,72.5,1.88,07-02-2026 10:28,Active
OFFER00141,ORD000230,Free Delivery on orders above â‚¹199,Free Delivery,149.34,784.52,53.6,4.47,29-05-2026 13:21,Active
OFFER00142,ORD000232,Get â‚¹50 Cashback,Cashback,160.94,2463.28,60.8,2.63,02-05-2026 00:42,Active
OFFER00143,ORD000233,10% Off using SBI Cards,Bank Offer,86.44,2370.88,46.8,2.8,25-05-2026 20:43,Expired
OFFER00144,ORD000235,5% Cashback on Axis Cards,Bank Offer,249.09,979.53,35.2,3.74,06-04-2026 05:58,Expired
OFFER00145,ORD000238,BOGO on Beverages,Buy 1 Get 1,169.73,1135.35,33.9,2.65,14-04-2026 00:38,Active
OFFER00146,ORD000242,Free Delivery on orders above â‚¹299,Free Delivery,149.47,888.75,36.3,2.64,09-02-2026 19:26,Active
OFFER00147,ORD000244,Free Delivery - Prime Member,Free Delivery,114.18,706.32,50.9,2.93,18-02-2026 20:41,Active
OFFER00148,ORD000245,â‚¹25 Cashback,Cashback,156.1,883.28,33.5,1.99,14-05-2026 20:28,Upcoming
OFFER00149,ORD000246,Free Delivery on orders above â‚¹199,Free Delivery,63.42,2395.57,50.1,4.15,23-02-2026 00:04,Upcoming
OFFER00150,ORD000248,Free Delivery on orders above â‚¹299,Free Delivery,162.23,1173.68,28.2,4.14,07-03-2026 08:54,Expired
OFFER00151,ORD000251,â‚¹25 Cashback,Cashback,176.89,2134.09,25.4,2.95,04-02-2026 01:14,Active
OFFER00152,ORD000252,Buy 2 Get 1 Free,Buy 1 Get 1,210.26,310.46,71.5,4.95,15-06-2026 23:33,Expired
OFFER00153,ORD000253,Free Delivery on orders above â‚¹299,Free Delivery,111.09,581.28,41.4,1.62,13-03-2026 13:10,Expired
OFFER00154,ORD000254,â‚¹25 Cashback,Cashback,44.29,325.76,61.2,4.19,22-03-2026 19:39,Active
OFFER00155,ORD000255,Flat 15% Off,Discount,70.98,2357.31,60.1,2.84,30-01-2026 12:22,Active
OFFER00156,ORD000256,Flat 20% Off,Discount,45.91,337.83,60.8,3.62,14-06-2026 23:01,Expired
OFFER00157,ORD000257,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,61.45,986.07,48.2,4.09,10-02-2026 22:31,Active
OFFER00158,ORD000258,Flat 5% Off,Discount,69.4,2012.14,50.9,3.17,27-05-2026 05:36,Active
OFFER00159,ORD000259,Get â‚¹100 Cashback on next order,Cashback,222.17,1838.05,43.5,1.82,14-06-2026 12:59,Active
OFFER00160,ORD000260,Free Delivery - Prime Member,Free Delivery,226.76,1350.28,31.3,3.32,16-05-2026 07:10,Active
OFFER00161,ORD000262,Free Delivery on orders above â‚¹299,Free Delivery,111.63,614.43,40.4,2.38,25-01-2026 19:48,Expired
OFFER00162,ORD000263,Flat 15% Off,Discount,240.97,937.29,26.3,4.13,15-05-2026 22:52,Active
OFFER00163,ORD000264,Flat 10% Off,Discount,144.46,930.15,61.8,4.78,05-02-2026 00:11,Active
OFFER00164,ORD000266,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,84.59,542.85,63.2,2.14,01-07-2026 10:56,Expired
OFFER00165,ORD000267,Get â‚¹100 Cashback on next order,Cashback,111.7,435.64,61.9,2.05,25-06-2026 22:48,Expired
OFFER00166,ORD000268,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,101.15,1640.83,45.2,3.23,14-02-2026 23:52,Active
OFFER00167,ORD000269,Flat 10% Off,Discount,28.2,821.66,61.4,3.06,08-03-2026 22:53,Expired
OFFER00168,ORD000271,Buy 2 Get 1 Free,Buy 1 Get 1,132.91,1277.28,66.1,4.92,26-04-2026 10:23,Active
OFFER00169,ORD000272,â‚¹100 Off on ICICI Cards,Bank Offer,188.18,169.29,66.5,2.12,05-07-2026 02:42,Active
OFFER00170,ORD000274,Flat 5% Off,Discount,124.03,177.11,71.8,4.17,09-06-2026 23:17,Expired
OFFER00171,ORD000275,Flat â‚¹75 Off using HDFC Cards,Bank Offer,203.15,410.88,31.7,3.08,11-06-2026 05:57,Expired
OFFER00172,ORD000276,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,40.36,2109.74,56.3,2.57,12-05-2026 22:24,Active
OFFER00173,ORD000279,Buy 2 Get 1 Free,Buy 1 Get 1,211.97,653.46,42.6,4.58,21-02-2026 13:12,Active
OFFER00174,ORD000281,â‚¹25 Cashback,Cashback,155.65,1896.94,48.1,4.25,16-05-2026 07:09,Expired
OFFER00175,ORD000284,Flat 5% Off,Discount,119.92,356.01,30.3,1.74,23-06-2026 01:32,Active
OFFER00176,ORD000285,â‚¹100 Off on ICICI Cards,Bank Offer,65.77,1658.78,57.9,2.6,29-01-2026 03:18,Active
OFFER00177,ORD000286,BOGO on Beverages,Buy 1 Get 1,29.35,2346.66,49.4,3.62,09-07-2026 11:12,Active
OFFER00178,ORD000287,Flat â‚¹75 Off using HDFC Cards,Bank Offer,33.68,2380.5,40.6,2.77,12-02-2026 21:46,Active
OFFER00179,ORD000289,Flat 5% Off,Discount,193.3,749.39,73.9,4.42,01-06-2026 09:58,Active
OFFER00180,ORD000291,Free Delivery on orders above â‚¹199,Free Delivery,196.8,1855.39,68.4,1.53,12-05-2026 19:46,Active
OFFER00181,ORD000292,Flat 20% Off,Discount,164.67,2169.02,74.6,3.02,20-06-2026 00:44,Active
OFFER00182,ORD000293,Free Delivery - Prime Member,Free Delivery,41.01,801.58,51.2,4.84,13-03-2026 12:56,Active
OFFER00183,ORD000294,Flat 20% Off,Discount,187.72,1739.08,28.7,4.58,19-06-2026 06:41,Active
OFFER00184,ORD000295,Flat 15% Off,Discount,93.14,1644.98,36.1,1.8,19-04-2026 12:10,Active
OFFER00185,ORD000298,Buy 1 Get 1 Free on Snacks,Buy 1 Get 1,48.34,2383.43,72.8,4.3,04-03-2026 21:10,Upcoming
OFFER00186,ORD000300,Free Delivery - Prime Member,Free Delivery,129.53,1706.27,28.2,3.25,31-05-2026 21:29,Expired
OFFER00187,ORD000301,Free Delivery on orders above â‚¹199,Free Delivery,129.81,1119.69,42.2,3.79,04-07-2026 05:33,Expired
OFFER00188,ORD000303,Get â‚¹50 Cashback,Cashback,228.1,1393.83,49.8,4.33,04-06-2026 02:35,Active
OFFER00189,ORD000304,Buy 2 Get 1 Free,Buy 1 Get 1,83.31,2362.29,32.4,3.57,16-07-2026 02:43,Active
OFFER00190,ORD000306,Get â‚¹100 Cashback on next order,Cashback,162.59,655.28,52.9,1.67,01-03-2026 00:34,Active
OFFER00191,ORD000307,Free Delivery on orders above â‚¹299,Free Delivery,192.14,2041.42,65.1,2.17,23-04-2026 06:46,Active
OFFER00192,ORD000309,â‚¹100 Off on ICICI Cards,Bank Offer,150.77,1819.67,38.2,4.2,28-03-2026 06:16,Active
OFFER00193,ORD000310,Free Delivery - Prime Member,Free Delivery,189.33,1306.69,35.8,2.63,02-06-2026 10:19,Expired
OFFER00194,ORD000315,Get â‚¹50 Cashback,Cashback,44.33,804.79,40.3,1.54,05-07-2026 01:15,Active
OFFER00195,ORD000316,Flat 15% Off,Discount,53.13,412.72,58.4,2.5,18-06-2026 22:51,Active
OFFER00196,ORD000317,20% Cashback (Max â‚¹75),Cashback,22.26,883.84,72.2,3.64,08-04-2026 19:42,Active
OFFER00197,ORD000321,Flat 15% Off,Discount,239.37,330.39,51.4,2.97,04-04-2026 12:50,Active
OFFER00198,ORD000322,Flat 10% Off,Discount,103,158.44,71.1,3.07,29-06-2026 21:31,Active
OFFER00199,ORD000325,Free Delivery on orders above â‚¹299,Free Delivery,51.39,699.06,70.4,4.61,17-02-2026 00:34,Active
OFFER00200,ORD000326,BOGO on Beverages,Buy 1 Get 1,157.43,1671.76,38.7,2.1,26-03-2026 19:56,Expired
OFFER00201,ORD000327,Get â‚¹100 Cashback on next order,Cashback,181.06,1935.06,33.5,2.04,07-06-2026 08:25,Active
OFFER00202,ORD000329,BOGO on Beverages,Buy 1 Get 1,72.55,2486.6,50.6,3.37,19-07-2026 02:58,Active
OFFER00203,ORD000331,20% Cashback (Max â‚¹75),Cashback,100.27,1993.56,48.5,3.93,01-03-2026 20:41,Active
OFFER00204,ORD000333,â‚¹25 Cashback,Cashback,61.54,367.8,29.7,1.68,07-05-2026 12:37,Active
OFFER00205,ORD000335,Free Delivery - Prime Member,Free Delivery,147.61,2018.02,29.8,4.56,13-06-2026 01:28,Active
OFFER00206,ORD000336,5% Cashback on Axis Cards,Bank Offer,246.59,334.83,48.5,1.85,03-03-2026 23:43,Upcoming
OFFER00207,ORD000338,Free Delivery on orders above â‚¹199,Free Delivery,145.19,246.51,50.1,1.92,19-04-2026 13:18,Active
OFFER00208,ORD000339,Free Delivery - Prime Member,Free Delivery,17.61,1831.31,32.8,3.45,16-05-2026 06:22,Expired
OFFER00209,ORD000340,10% Off using SBI Cards,Bank Offer,10.3,431.82,28.6,2.62,09-04-2026 05:23,Active
OFFER00210,ORD000341,Free Delivery on orders above â‚¹199,Free Delivery,153.92,419.44,66.5,4.68,25-03-2026 11:14,Active
OFFER00211,ORD000342,Free Delivery on orders above â‚¹199,Free Delivery,175.85,329.23,39.7,3.77,04-03-2026 06:27,Expired
OFFER00212,ORD000346,5% Cashback on Axis Cards,Bank Offer,232.96,2025.37,50.4,3.66,19-06-2026 03:54,Expired
OFFER00213,ORD000347,5% Cashback on Axis Cards,Bank Offer,229.74,1542.86,70.2,1.69,27-03-2026 03:41,Active
OFFER00214,ORD000350,Flat â‚¹75 Off using HDFC Cards,Bank Offer,226.62,2485.54,31.4,1.86,24-02-2026 12:56,Active
OFFER00215,ORD000351,5% Cashback on Axis Cards,Bank Offer,233.57,1080.16,28.2,2.29,22-01-2026 00:14,Expired
