OrderItemID,OrderID,ProductID,ProductName,Category,Quantity,PricePerUnit,ItemTotal
ITEM000034,ORD000010,PROD00382,Bonnie Cookies 5pcs,Bakery & Bread,1,7.5,7.5
ITEM000035,ORD000010,PROD00966,Whiskas Organic Pet Food 250g,Pet Care,1,828.38,828.38
ITEM000036,ORD000010,PROD00911,Coca Cola Organic Health Drinks 12pcs,Beverages,2,17.97,35.94
ITEM000037,ORD000010,PROD00718,Whiskas Organic Pet Accessories 250g,Pet Care,1,632.97,632.97
ITEM000038,ORD000011,PROD00177,Local Farms Fresh Exotic Fruits 1kg,Fruits & Vegetables,2,76.12,152.25
ITEM000039,ORD000011,PROD00696,Pringles Fresh Chocolates 12pcs,Snacks & Munchies,1,73.32,73.32
ITEM000040,ORD000011,PROD00424,Country Delight Premium Fresh Vegetables 2L,Fruits & Vegetables,2,75.15,150.3
ITEM000041,ORD000011,PROD00431,Britannia Premium Cakes 1L,Bakery & Bread,1,114.22,114.22
ITEM000042,ORD000011,PROD00227,Real Health Drinks 100g,Beverages,2,62.15,124.3
ITEM000043,ORD000011,PROD00818,Head & Shoulders Organic Shampoo 1L,Personal Care,1,38.89,38.89
ITEM000044,ORD000012,PROD00160,Purepet Fresh Pet Food 100ml,Pet Care,1,340.53,340.53
ITEM000045,ORD000013,PROD00183,Pampers Organic Baby Food 10pcs,Baby Care,1,1435.25,1435.25
ITEM000046,ORD000014,PROD00322,Pedigree Organic Pet Accessories 12pcs,Pet Care,1,427.35,427.35
ITEM000047,ORD000014,PROD00724,Pepsi Fresh Health Drinks 6pcs,Beverages,1,516.62,516.62
ITEM000048,ORD000014,PROD00422,Bikaji Fresh Namkeen 200ml,Snacks & Munchies,3,96.51,289.53
ITEM000049,ORD000014,PROD00457,Nestle Baby Food 1kg,Baby Care,1,140.76,140.76
ITEM000050,ORD000014,PROD00086,Country Delight Premium Fresh Vegetables 12pcs,Fruits & Vegetables,2,281.92,563.85
ITEM000051,ORD000014,PROD00894,Rin Premium Mosquito Repellent 1kg,Household,1,408.16,408.16
ITEM000052,ORD000015,PROD00431,Britannia Premium Cakes 1L,Bakery & Bread,1,1014.28,1014.28
ITEM000053,ORD000015,PROD00690,Fortune Cooking Oil 10pcs,Oil & Masalas,1,891.35,891.35
ITEM000054,ORD000015,PROD00539,Aashirvaad Premium Millets 1pc,Atta & Grains,1,388.93,388.93
ITEM000055,ORD000016,PROD00942,Aashirvaad Fresh Pulses 2kg,Atta & Grains,1,24.79,24.79
ITEM000056,ORD000016,PROD00161,Eastern Sauces 10pcs,Oil & Masalas,1,249.47,249.47
ITEM000057,ORD000016,PROD00769,Good Knight Fresh Detergent 250ml,Household,2,100.6,201.19
ITEM000058,ORD000016,PROD00543,Daawat Premium Pulses 1L,Atta & Grains,1,307.55,307.55
ITEM000059,ORD000016,PROD00528,Country Delight Organic Exotic Fruits 500g,Fruits & Vegetables,1,242.18,242.18
ITEM000060,ORD000017,PROD00232,Aashirvaad Premium Wheat Flour 6pcs,Atta & Grains,1,141.42,141.42
ITEM000061,ORD000017,PROD00717,Fortune Premium Ghee 200ml,Oil & Masalas,1,773.33,773.33
ITEM000062,ORD000017,PROD00392,Mother Dairy Fresh Cream 12pcs,Dairy & Eggs,1,579.76,579.76
ITEM000063,ORD000018,PROD00206,Colgate Organic Sanitizer 100g,Personal Care,1,517.4,517.4
ITEM000064,ORD000018,PROD00232,Aashirvaad Premium Wheat Flour 6pcs,Atta & Grains,1,1235.57,1235.57
ITEM000065,ORD000018,PROD00035,Lays Premium Namkeen 2L,Snacks & Munchies,1,95.22,95.22
ITEM000066,ORD000019,PROD00130,Harpic Premium Air Fresheners 100ml,Household,1,33.64,33.64
ITEM000067,ORD000019,PROD00992,English Oven Bread 10pcs,Bakery & Bread,3,72.07,216.22
ITEM000068,ORD000019,PROD00267,Local Farms Organic Fresh Vegetables 12pcs,Fruits & Vegetables,1,275.14,275.14
ITEM000069,ORD000019,PROD00898,Haldiram Fresh Chips 10pcs,Snacks & Munchies,1,349.81,349.81
ITEM000070,ORD000020,PROD00920,Lays Candies 1pc,Snacks & Munchies,1,157.21,157.21
ITEM000071,ORD000020,PROD00029,Windsor Premium Buns 6pcs,Bakery & Bread,1,141.26,141.26
ITEM000072,ORD000020,PROD00607,Amul Paneer 6pcs,Dairy & Eggs,2,155.31,310.62
ITEM000073,ORD000020,PROD00716,Dodla Milk 1pc,Dairy & Eggs,1,273.44,273.44
ITEM000074,ORD000020,PROD00972,Colgate Shampoo 1L,Personal Care,3,6.07,18.21
ITEM000075,ORD000021,PROD00843,MDH Organic Pickles 500g,Oil & Masalas,3,208.17,624.51
ITEM000076,ORD000021,PROD00915,Saffola Organic Cooking Oil 2kg,Oil & Masalas,1,97.32,97.32
ITEM000077,ORD000021,PROD00065,Pedigree Premium Pet Accessories 250g,Pet Care,2,497.03,994.06
ITEM000078,ORD000022,PROD00230,Dhara Ghee 500g,Oil & Masalas,1,1720.47,1720.47
ITEM000079,ORD000023,PROD00260,Daawat Wheat Flour 1kg,Atta & Grains,1,1223.58,1223.58
ITEM000080,ORD000024,PROD00362,Country Delight Fresh Fresh Fruits 1pc,Fruits & Vegetables,1,867.88,867.88
ITEM000081,ORD000025,PROD00506,Amul Organic Eggs 1pc,Dairy & Eggs,2,745.36,1490.73
ITEM000082,ORD000025,PROD00506,Amul Organic Eggs 1pc,Dairy & Eggs,1,892.36,892.36
ITEM000083,ORD000026,PROD00601,Mother Dairy Curd/Yogurt 250g,Dairy & Eggs,1,39.49,39.49
ITEM000084,ORD000026,PROD00151,Britannia Fresh Cookies 2L,Bakery & Bread,1,47.38,47.38
ITEM000085,ORD000026,PROD00084,Nestle Chips 200ml,Snacks & Munchies,3,0.11,0.32
ITEM000086,ORD000026,PROD00999,Nestle Organic Baby Food 100ml,Baby Care,1,43.9,43.9
ITEM000087,ORD000026,PROD00985,Johnson & Johnson Baby Oil 5kg,Baby Care,1,65.72,65.72
ITEM000088,ORD000026,PROD00253,Whiskas Organic Pet Accessories 1pc,Pet Care,1,27.43,27.43
ITEM000089,ORD000027,PROD00208,Drools Premium Pet Food 500ml,Pet Care,1,84.01,84.01
ITEM000090,ORD000027,PROD00978,24 Mantra Organic Pulses 250g,Atta & Grains,3,255.86,767.57
ITEM000091,ORD000027,PROD00054,All Out Fresh Air Fresheners 10pcs,Household,1,377.32,377.32
ITEM000092,ORD000027,PROD00997,Nescafe Premium Coffee 2L,Beverages,1,326.06,326.06
ITEM000093,ORD000027,PROD00839,Milky Mist Premium Butter 100g,Dairy & Eggs,1,274.5,274.5
ITEM000094,ORD000028,PROD00046,Tropicana Juices 2kg,Beverages,1,2174.49,2174.49
ITEM000095,ORD000029,PROD00820,Sunsilk Organic Sanitizer 5kg,Personal Care,2,205.49,410.98
ITEM000096,ORD000029,PROD00607,Amul Paneer 6pcs,Dairy & Eggs,2,173.7,347.4
ITEM000097,ORD000029,PROD00307,MTR Wheat Flour 1kg,Atta & Grains,2,214.92,429.85
ITEM000098,ORD000029,PROD00061,Eastern Sauces 1pc,Oil & Masalas,2,63.76,127.51
ITEM000099,ORD000029,PROD00902,Pampers Fresh Baby Food 200ml,Baby Care,3,19.65,58.96
ITEM000100,ORD000029,PROD00643,Harpic Organic Detergent 500g,Household,1,106.35,106.35
ITEM000101,ORD000030,PROD00548,Catch Organic Masalas 5kg,Oil & Masalas,3,50.82,152.45
ITEM000102,ORD000030,PROD00435,Huggies Premium Baby Wipes 5kg,Baby Care,1,74.02,74.02
ITEM000103,ORD000030,PROD00250,Windsor Premium Rusk 6pcs,Bakery & Bread,3,76.26,228.77
ITEM000104,ORD000030,PROD00204,Britannia Premium Cakes 200g,Bakery & Bread,1,84.72,84.72
ITEM000105,ORD000030,PROD00698,English Oven Fresh Cakes 500g,Bakery & Bread,1,282.13,282.13
ITEM000106,ORD000031,PROD00058,Coca Cola Fresh Soft Drinks 500g,Beverages,1,1377.48,1377.48
ITEM000107,ORD000032,PROD00743,Britannia Premium Rusk 500g,Bakery & Bread,1,30.88,30.88
ITEM000108,ORD000032,PROD00295,Red Bull Fresh Soft Drinks 100g,Beverages,2,17.53,35.07
ITEM000109,ORD000032,PROD00441,Drools Fresh Pet Accessories 12pcs,Pet Care,1,53.03,53.03
ITEM000110,ORD000032,PROD00451,Nescafe Organic Soft Drinks 250g,Beverages,2,125.52,251.04
ITEM000111,ORD000032,PROD00064,Britannia Premium Cakes 200ml,Bakery & Bread,3,47.33,141.99
ITEM000112,ORD000033,PROD00367,Drools Premium Pet Food 1pc,Pet Care,1,542.46,542.46
ITEM000113,ORD000033,PROD00260,Daawat Wheat Flour 1kg,Atta & Grains,1,574.14,574.14
ITEM000114,ORD000033,PROD00526,Dove Organic Skincare 1pc,Personal Care,3,45.51,136.52
ITEM000115,ORD000033,PROD00368,Colin Premium Air Fresheners 200g,Household,1,653.36,653.36
ITEM000116,ORD000034,PROD00419,Mother Dairy Premium Butter 200g,Dairy & Eggs,2,530.27,1060.54
ITEM000117,ORD000035,PROD00496,Mother Dairy Paneer 5kg,Dairy & Eggs,2,234.11,468.23
ITEM000118,ORD000035,PROD00710,Gerber Fresh Diapers 500ml,Baby Care,1,292.9,292.9
ITEM000119,ORD000036,PROD00730,Whiskas Fresh Pet Accessories 2kg,Pet Care,1,164.17,164.17
ITEM000120,ORD000036,PROD00281,Harvest Gold Fresh Cakes 100ml,Bakery & Bread,2,156.08,312.16
ITEM000121,ORD000036,PROD00341,Amul Fresh Curd/Yogurt 100ml,Dairy & Eggs,2,112.95,225.91
ITEM000122,ORD000036,PROD00614,Colin Detergent 200ml,Household,1,168.99,168.99
ITEM000123,ORD000037,PROD00428,Amul Paneer 5kg,Dairy & Eggs,2,971.97,1943.95
ITEM000124,ORD000037,PROD00124,Drools Pet Accessories 200ml,Pet Care,1,446.87,446.87
ITEM000125,ORD000038,PROD00617,Fresho Premium Organic Vegetables 200g,Fruits & Vegetables,2,57.19,114.38
ITEM000126,ORD000038,PROD00696,Pringles Fresh Chocolates 12pcs,Snacks & Munchies,1,135.13,135.13
ITEM000127,ORD000038,PROD00461,Fresho Fresh Organic Vegetables 250ml,Fruits & Vegetables,1,79.15,79.15
ITEM000128,ORD000038,PROD00724,Pepsi Fresh Health Drinks 6pcs,Beverages,1,53.18,53.18
ITEM000129,ORD000038,PROD00906,Drools Organic Pet Food 2kg,Pet Care,1,81.44,81.44
ITEM000130,ORD000039,PROD00295,Red Bull Fresh Soft Drinks 100g,Beverages,1,36.01,36.01
ITEM000131,ORD000039,PROD00663,Nestle Organic Chips 100g,Snacks & Munchies,1,87.17,87.17
ITEM000132,ORD000039,PROD00380,Drools Fresh Pet Accessories 200g,Pet Care,1,153.12,153.12
ITEM000133,ORD000039,PROD00567,Daawat Fresh Rice 6pcs,Atta & Grains,1,61.26,61.26
ITEM000134,ORD000040,PROD00362,Country Delight Fresh Fresh Fruits 1pc,Fruits & Vegetables,2,451.08,902.17
ITEM000135,ORD000041,PROD00003,Gerber Fresh Baby Wipes 5pcs,Baby Care,3,13.14,39.43
ITEM000136,ORD000041,PROD00298,Nescafe Organic Health Drinks 100g,Beverages,1,53.15,53.15
ITEM000137,ORD000041,PROD00152,Fresho Premium Fresh Fruits 1kg,Fruits & Vegetables,1,38.46,38.46
ITEM000138,ORD000041,PROD00647,Colin Fresh Cleaning Supplies 100g,Household,2,17.43,34.85
ITEM000139,ORD000041,PROD00850,Purepet Pet Accessories 200ml,Pet Care,1,44.35,44.35
ITEM000140,ORD000042,PROD00906,Drools Organic Pet Food 2kg,Pet Care,2,185.46,370.92
ITEM000141,ORD000042,PROD00966,Whiskas Organic Pet Food 250g,Pet Care,3,127,380.99
ITEM000142,ORD000042,PROD00152,Fresho Premium Fresh Fruits 1kg,Fruits & Vegetables,3,66.55,199.64
ITEM000143,ORD000042,PROD00180,MDH Pickles 10pcs,Oil & Masalas,2,131.27,262.53
ITEM000144,ORD000042,PROD00225,Dodla Fresh Milk 1L,Dairy & Eggs,1,281,281
ITEM000145,ORD000042,PROD00554,Dhara Fresh Sauces 500g,Oil & Masalas,1,48.45,48.45
ITEM000146,ORD000043,PROD00914,Red Bull Fresh Health Drinks 500ml,Beverages,2,326.58,653.16
ITEM000147,ORD000043,PROD00952,Saffola Masalas 250g,Oil & Masalas,1,704.86,704.86
ITEM000148,ORD000043,PROD00904,Colgate Premium Toothpaste 5pcs,Personal Care,1,428.57,428.57
ITEM000149,ORD000044,PROD00930,Eastern Fresh Sauces 12pcs,Oil & Masalas,3,108.82,326.45
ITEM000150,ORD000044,PROD00651,Daawat Organic Pulses 250ml,Atta & Grains,2,158.48,316.97
ITEM000151,ORD000044,PROD00642,Amul Organic Curd/Yogurt 200g,Dairy & Eggs,1,332.11,332.11
ITEM000152,ORD000044,PROD00021,Bikaji Organic Dry Fruits 200ml,Snacks & Munchies,1,150.71,150.71
ITEM000153,ORD000044,PROD00433,Dhara Cooking Oil 100g,Oil & Masalas,1,287.98,287.98
ITEM000154,ORD000045,PROD00286,Country Delight Organic Fresh Fruits 5kg,Fruits & Vegetables,1,780.9,780.9
ITEM000155,ORD000045,PROD00974,MTR Organic Wheat Flour 250ml,Atta & Grains,1,1087.35,1087.35
ITEM000156,ORD000046,PROD00344,Johnson & Johnson Premium Diapers 2L,Baby Care,1,387.46,387.46
ITEM000157,ORD000046,PROD00088,Pedigree Premium Pet Food 5pcs,Pet Care,1,729.73,729.73
ITEM000158,ORD000047,PROD00277,Sunsilk Toothpaste 100g,Personal Care,1,113.63,113.63
ITEM000159,ORD000047,PROD00381,Pampers Baby Wipes 100g,Baby Care,2,331.87,663.74
ITEM000160,ORD000047,PROD00899,Eastern Ghee 1L,Oil & Masalas,2,46.33,92.65
ITEM000161,ORD000047,PROD00254,Organic India Fresh Fresh Vegetables 10pcs,Fruits & Vegetables,1,144,144
ITEM000162,ORD000048,PROD00963,Windsor Buns 1kg,Bakery & Bread,1,7.25,7.25
ITEM000163,ORD000048,PROD00039,Haldiram Premium Dry Fruits 5pcs,Snacks & Munchies,1,30.79,30.79
ITEM000164,ORD000048,PROD00040,Rin Premium Air Fresheners 10pcs,Household,1,33.76,33.76
ITEM000165,ORD000048,PROD00686,Pears Sanitizer 1pc,Personal Care,1,50.42,50.42
ITEM000166,ORD000048,PROD00817,Pampers Premium Baby Food 250g,Baby Care,1,51.17,51.17
ITEM000167,ORD000048,PROD00180,MDH Pickles 10pcs,Oil & Masalas,3,18.22,54.67
ITEM000168,ORD000049,PROD00169,Pringles Fresh Chips 500g,Snacks & Munchies,1,14.36,14.36
ITEM000169,ORD000049,PROD00677,Daawat Premium Pulses 100g,Atta & Grains,2,35.61,71.22
ITEM000170,ORD000049,PROD00834,Nandini Organic Butter 12pcs,Dairy & Eggs,1,104.62,104.62
ITEM000171,ORD000049,PROD00200,Organic India Premium Fresh Vegetables 200g,Fruits & Vegetables,1,123.85,123.85
ITEM000172,ORD000049,PROD00906,Drools Organic Pet Food 2kg,Pet Care,3,5.7,17.11
ITEM000173,ORD000049,PROD00398,Rin Detergent 250g,Household,1,117.18,117.18
ITEM000174,ORD000050,PROD00138,Nestle Fresh Chocolates 5pcs,Snacks & Munchies,1,303.74,303.74
ITEM000175,ORD000050,PROD00658,Nestle Premium Candies 250g,Snacks & Munchies,3,152.21,456.62
ITEM000176,ORD000051,PROD00238,Coca Cola Fresh Juices 200ml,Beverages,1,89.48,89.48
ITEM000177,ORD000051,PROD00663,Nestle Organic Chips 100g,Snacks & Munchies,1,589.5,589.5
ITEM000178,ORD000052,PROD00478,Colgate Premium Skincare 1kg,Personal Care,2,409.11,818.21
ITEM000179,ORD000053,PROD00694,Daawat Rice 6pcs,Atta & Grains,1,738.37,738.37
ITEM000180,ORD000053,PROD00762,Windsor Fresh Rusk 5kg,Bakery & Bread,1,505.78,505.78
ITEM000181,ORD000053,PROD00146,Red Bull Fresh Energy Drinks 6pcs,Beverages,3,120.38,361.14
ITEM000182,ORD000053,PROD00289,Dodla Premium Paneer 12pcs,Dairy & Eggs,1,166.14,166.14
ITEM000183,ORD000053,PROD00700,Real Organic Juices 250g,Beverages,1,651.75,651.75
ITEM000184,ORD000054,PROD00249,Pringles Fresh Dry Fruits 500ml,Snacks & Munchies,1,576.92,576.92
ITEM000185,ORD000054,PROD00383,Drools Fresh Pet Accessories 250g,Pet Care,1,42.96,42.96
ITEM000186,ORD000055,PROD00442,Aashirvaad Fresh Spices 6pcs,Atta & Grains,1,591.99,591.99
ITEM000187,ORD000055,PROD00986,Bikaji Organic Candies 1L,Snacks & Munchies,1,271.81,271.81
ITEM000188,ORD000055,PROD00531,Dhara Premium Masalas 12pcs,Oil & Masalas,1,1146.84,1146.84
ITEM000189,ORD000055,PROD00792,Dove Organic Soap 500ml,Personal Care,1,34.38,34.38
ITEM000190,ORD000056,PROD00109,Red Bull Fresh Coffee 2L,Beverages,3,21.97,65.9
ITEM000191,ORD000056,PROD00135,Bikaji Premium Dry Fruits 200g,Snacks & Munchies,2,47.04,94.08
ITEM000192,ORD000056,PROD00997,Nescafe Premium Coffee 2L,Beverages,1,70.76,70.76
ITEM000193,ORD000056,PROD00494,Colin Organic Mosquito Repellent 250ml,Household,2,32.02,64.04
ITEM000194,ORD000057,PROD00460,Lux Fresh Toothpaste 2L,Personal Care,3,175.67,527.02
ITEM000195,ORD000057,PROD00577,Tropicana Fresh Health Drinks 250ml,Beverages,1,164.25,164.25
ITEM000196,ORD000058,PROD00975,India Gate Organic Wheat Flour 1pc,Atta & Grains,2,945.16,1890.32
ITEM000197,ORD000058,PROD00767,Pedigree Pet Food 1L,Pet Care,1,178.74,178.74
ITEM000198,ORD000059,PROD00040,Rin Premium Air Fresheners 10pcs,Household,1,776.79,776.79
ITEM000199,ORD000059,PROD00448,Organic India Exotic Fruits 200ml,Fruits & Vegetables,1,781.76,781.76
ITEM000200,ORD000059,PROD00371,Lays Organic Chocolates 1kg,Snacks & Munchies,1,755.97,755.97
ITEM000201,ORD000060,PROD00720,Sunsilk Organic Skincare 250g,Personal Care,2,295.59,591.18
ITEM000202,ORD000060,PROD00517,Bonnie Organic Cookies 500g,Bakery & Bread,1,759.58,759.58
ITEM000203,ORD000060,PROD00764,Mother Dairy Eggs 12pcs,Dairy & Eggs,2,390.34,780.69
ITEM000204,ORD000061,PROD00561,Dove Soap 250g,Personal Care,1,178.33,178.33
ITEM000205,ORD000061,PROD00664,Eastern Premium Cooking Oil 5kg,Oil & Masalas,1,38.65,38.65
ITEM000206,ORD000061,PROD00867,Dove Fresh Shampoo 10pcs,Personal Care,1,321.72,321.72
ITEM000207,ORD000061,PROD00044,Brooke Bond Energy Drinks 100g,Beverages,2,122.67,245.34
ITEM000208,ORD000061,PROD00017,India Gate Premium Pulses 200ml,Atta & Grains,1,17.26,17.26
ITEM000209,ORD000061,PROD00490,Tropicana Fresh Juices 1L,Beverages,2,136.64,273.27
ITEM000210,ORD000062,PROD00944,Johnson & Johnson Fresh Baby Food 5pcs,Baby Care,2,149.92,299.85
ITEM000211,ORD000062,PROD00962,Huggies Organic Baby Oil 1pc,Baby Care,2,350.74,701.48
ITEM000212,ORD000062,PROD00303,Fortune Premium Pulses 1kg,Atta & Grains,3,288.6,865.81
ITEM000213,ORD000062,PROD00628,Head & Shoulders Toothpaste 2kg,Personal Care,1,123.94,123.94
ITEM000214,ORD000063,PROD00477,Dove Organic Soap 200ml,Personal Care,1,297.71,297.71
ITEM000215,ORD000063,PROD00439,Nestle Organic Baby Oil 5kg,Baby Care,1,410.72,410.72
ITEM000216,ORD000063,PROD00628,Head & Shoulders Toothpaste 2kg,Personal Care,2,181.13,362.26
ITEM000217,ORD000064,PROD00414,Nescafe Premium Coffee 12pcs,Beverages,3,113.8,341.39
ITEM000218,ORD000064,PROD00550,Pepsi Fresh Coffee 250g,Beverages,1,669.87,669.87
ITEM000219,ORD000064,PROD00140,Whiskas Organic Pet Food 100g,Pet Care,1,570.75,570.75
ITEM000220,ORD000065,PROD00973,Country Delight Premium Exotic Fruits 500ml,Fruits & Vegetables,2,376.06,752.13
ITEM000221,ORD000065,PROD00828,Fresho Exotic Fruits 500ml,Fruits & Vegetables,1,310.51,310.51
ITEM000222,ORD000066,PROD00782,Catch Fresh Sauces 500ml,Oil & Masalas,1,297.45,297.45
ITEM000223,ORD000066,PROD00751,Good Knight Fresh Detergent 250ml,Household,1,350.18,350.18
ITEM000224,ORD000066,PROD00396,Coca Cola Fresh Energy Drinks 1L,Beverages,2,420.23,840.46
ITEM000225,ORD000067,PROD00859,Cadbury Premium Namkeen 500ml,Snacks & Munchies,1,93.45,93.45
ITEM000226,ORD000067,PROD00849,Britannia Fresh Cakes 1pc,Bakery & Bread,1,261.1,261.1
ITEM000227,ORD000067,PROD00508,Tropicana Soft Drinks 10pcs,Beverages,1,287.5,287.5
ITEM000228,ORD000067,PROD00988,Nescafe Organic Juices 2L,Beverages,2,13.78,27.57
ITEM000229,ORD000067,PROD00407,Daawat Premium Millets 500g,Atta & Grains,1,157.95,157.95
ITEM000230,ORD000067,PROD00439,Nestle Organic Baby Oil 5kg,Baby Care,1,40.73,40.73
ITEM000231,ORD000068,PROD00507,Pedigree Fresh Pet Accessories 12pcs,Pet Care,1,1297.31,1297.31
ITEM000232,ORD000068,PROD00476,Dodla Premium Cheese 10pcs,Dairy & Eggs,2,125.84,251.67
ITEM000233,ORD000069,PROD00562,MDH Fresh Ghee 100g,Oil & Masalas,1,1920.88,1920.88
ITEM000234,ORD000070,PROD00285,Nestle Baby Wipes 1kg,Baby Care,1,398.38,398.38
ITEM000235,ORD000070,PROD00786,Fortune Wheat Flour 10pcs,Atta & Grains,1,596.89,596.89
ITEM000236,ORD000070,PROD00923,24 Mantra Organic Millets 2L,Atta & Grains,2,188.15,376.29
ITEM000237,ORD000070,PROD00315,Colgate Shampoo 5pcs,Personal Care,2,1.03,2.06
ITEM000238,ORD000071,PROD00741,Local Farms Premium Organic Vegetables 10pcs,Fruits & Vegetables,1,437.72,437.72
ITEM000239,ORD000071,PROD00991,Nescafe Fresh Tea 2kg,Beverages,2,576.38,1152.76
ITEM000240,ORD000071,PROD00440,Milky Mist Organic Cream 250g,Dairy & Eggs,1,354.53,354.53
ITEM000241,ORD000071,PROD00537,Rin Fresh Air Fresheners 2kg,Household,2,4.27,8.54
ITEM000242,ORD000071,PROD00362,Country Delight Fresh Fresh Fruits 1pc,Fruits & Vegetables,1,182.07,182.07
ITEM000243,ORD000072,PROD00015,Windsor Premium Rusk 100ml,Bakery & Bread,1,338.57,338.57
ITEM000244,ORD000072,PROD00687,MTR Millets 1kg,Atta & Grains,2,608.25,1216.49
ITEM000245,ORD000072,PROD00663,Nestle Organic Chips 100g,Snacks & Munchies,3,45.07,135.2
ITEM000246,ORD000072,PROD00040,Rin Premium Air Fresheners 10pcs,Household,1,354.57,354.57
ITEM000247,ORD000073,PROD00188,Catch Organic Masalas 12pcs,Oil & Masalas,1,125.45,125.45
ITEM000248,ORD000073,PROD00219,Patanjali Fresh Sanitizer 5kg,Personal Care,1,164.6,164.6
ITEM000249,ORD000073,PROD00010,Parle Organic Namkeen 250ml,Snacks & Munchies,2,93.72,187.43
ITEM000250,ORD000074,PROD00588,Eastern Premium Masalas 5pcs,Oil & Masalas,1,92.03,92.03
ITEM000251,ORD000074,PROD00683,Saffola Premium Sauces 100ml,Oil & Masalas,1,20.59,20.59
ITEM000252,ORD000074,PROD00345,Huggies Premium Baby Food 500g,Baby Care,2,150.33,300.65
ITEM000253,ORD000074,PROD00685,Whiskas Fresh Pet Accessories 1kg,Pet Care,1,316.99,316.99
ITEM000254,ORD000075,PROD00359,Good Knight Premium Detergent 500ml,Household,1,219.63,219.63
ITEM000255,ORD000075,PROD00478,Colgate Premium Skincare 1kg,Personal Care,1,197.23,197.23
ITEM000256,ORD000076,PROD00364,Gerber Organic Baby Food 100g,Baby Care,1,517.86,517.86
ITEM000257,ORD000076,PROD00868,Pedigree Organic Pet Accessories 6pcs,Pet Care,3,178.23,534.69
ITEM000258,ORD000076,PROD00771,Harpic Organic Air Fresheners 2kg,Household,1,62.29,62.29
ITEM000259,ORD000077,PROD00609,Harpic Premium Air Fresheners 200g,Household,1,362.89,362.89
